,term,Alt1,Alt2,BI,BII
0,Termin: HT2020  HT2020,"Termin: HT2020, Lägst antagna poäng: 20.89  20.89","Termin: HT2020, Lägst antagna poäng: 20.80  20.80",20.89,20.8
1,Termin: VT2020  VT2020,"Termin: VT2020, Lägst antagna poäng: 20.00  20.00","Termin: VT2020, Lägst antagna poäng: 20.24  20.24",20.0,20.24
2,Termin: HT2019  HT2019,"Termin: HT2019, Lägst antagna poäng: 20.50  20.50","Termin: HT2019, Lägst antagna poäng: 20.40  20.40",20.5,20.4
3,Termin: VT2019  VT2019,"Termin: VT2019, Lägst antagna poäng: 19.84  19.84","Termin: VT2019, Lägst antagna poäng: 20.05  20.05",19.84,20.05
4,Termin: HT2018  HT2018,"Termin: HT2018, Lägst antagna poäng: 20.70  20.70","Termin: HT2018, Lägst antagna poäng: 20.73  20.73",20.7,20.73
5,Termin: VT2018  VT2018,"Termin: VT2018, Lägst antagna poäng: 19.90  19.90","Termin: VT2018, Lägst antagna poäng: 20.30  20.30",19.9,20.3
6,Termin: HT2017  HT2017,"Termin: HT2017, Lägst antagna poäng: 20.57  20.57","Termin: HT2017, Lägst antagna poäng: 20.36  20.36",20.57,20.36
7,Termin: VT2017  VT2017,"Termin: VT2017, Lägst antagna poäng: 20.40  20.40","Termin: VT2017, Lägst antagna poäng: 20.38  20.38",20.4,20.38
