,Termin,Program/kurs,Utbildningens namn,Anm.kod,Univ/högskola,Totalt antal sökande,1:a handssökande,Kvinnor 1:a hand,Kvinnor totalt,Män 1:a hand,Män totalt,25-34 1:a hand,25-34 totalt,<= 24 1:a hand,<= 24 totalt,>=35 1:a hand,>=35 totalt,BI,BII,HP
1047,VT2016,Program,Kandidatprogram i företagsekonomi,SU-31646,Stockholms universitet,3075,1041,49,183,65,232,238,678,766,2274,23,71,19.10,19.23,1.35
1048,VT2016,Program,Kandidatprogram i företagsekonomi,SU-31646,Stockholms universitet,3075,1041,477,1481,550,1542,46,163,64,237,4,15,19.10,19.23,1.35
1049,VT2016,Program,Kandidatprogram i företagsekonomi,SU-31646,Stockholms universitet,3075,1041,477,1481,550,1542,238,678,766,2274,23,71,19.10,19.23,1.35
1050,HT2011,Program,Kandidatprogram i företagsekonomi med inriktning mot redovisning och finansiering,SU-31656,Stockholms universitet,2431,502,229,1122,264,1251,84,301,395,2023,14,49,17.92,18.15,1.15
1051,HT2011,Program,Kandidatprogram i företagsekonomi med inriktning mot redovisning och finansiering,SU-31656,Stockholms universitet,2431,502,229,1122,264,1251,193,575,476,1487,36,89,17.92,18.15,1.15
1052,HT2011,Program,Kandidatprogram i företagsekonomi med inriktning mot redovisning och finansiering,SU-31656,Stockholms universitet,2431,502,340,1065,365,1086,84,301,395,2023,14,49,17.92,18.15,1.15
1053,HT2011,Program,Kandidatprogram i företagsekonomi med inriktning mot redovisning och finansiering,SU-31656,Stockholms universitet,2431,502,340,1065,365,1086,193,575,476,1487,36,89,17.92,18.15,1.15
1054,VT2019,Program,Kandidatprogram i företagsekonomi,SU-31656,Stockholms universitet,2194,719,229,1122,264,1251,84,301,395,2023,14,49,17.92,18.15,1.15
1055,VT2019,Program,Kandidatprogram i företagsekonomi,SU-31656,Stockholms universitet,2194,719,229,1122,264,1251,193,575,476,1487,36,89,17.92,18.15,1.15
1056,VT2019,Program,Kandidatprogram i företagsekonomi,SU-31656,Stockholms universitet,2194,719,340,1065,365,1086,84,301,395,2023,14,49,17.92,18.15,1.15
1057,VT2019,Program,Kandidatprogram i företagsekonomi,SU-31656,Stockholms universitet,2194,719,340,1065,365,1086,193,575,476,1487,36,89,17.92,18.15,1.15
1058,HT2010,Program,Kandidatprogram i filosofi och lingvistik,SU-10187,Stockholms universitet,228,29,9,98,18,120,6,35,20,181,1,2,*,*,*
1059,HT2010,Program,"Historieprogrammet, kandidatprogram",SU-12305,Stockholms universitet,419,75,24,153,48,240,12,52,54,324,6,17,*,*,*
1060,HT2010,Program,Kandidatprogram i arkeologi,SU-15205,Stockholms universitet,350,54,30,188,22,155,12,57,37,275,3,11,*,*,*
1061,HT2010,Program,Kandidatprogram i latinamerikastudier med inriktning mot portugisiska,SU-26375,Stockholms universitet,54,10,6,30,2,17,3,12,5,32,0,3,*,*,-
